linear_idx,head,row,col,actual_bf16_hex,expected_bf16_hex,actual_float,expected_float,abs_err,row_error,out_last,pass
155,0,1,27,0000,0000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0,0,1
156,0,1,28,0000,0000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0,0,1
157,0,1,29,0000,0000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0,0,1
158,0,1,30,0000,0000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0,0,1
159,0,1,31,0000,0000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0,0,1
160,0,1,32,0000,0000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0,0,1
161,0,1,33,0000,0000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0,0,1
162,0,1,34,0000,0000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0,0,1
163,0,1,35,0000,0000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0,0,1
164,0,1,36,0000,0000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0,0,1
165,0,1,37,0000,0000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0,0,1
166,0,1,38,0000,0000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0,0,1
167,0,1,39,0000,0000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0,0,1
168,0,1,40,0000,0000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0,0,1
169,0,1,41,0000,0000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0,0,1
170,0,1,42,0000,0000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0,0,1
171,0,1,43,0000,0000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0,0,1
172,0,1,44,0000,0000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0,0,1
173,0,1,45,0000,0000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0,0,1
174,0,1,46,0000,0000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0,0,1
175,0,1,47,0000,0000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0,0,1
176,0,1,48,0000,0000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0,0,1
177,0,1,49,0000,0000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0,0,1
178,0,1,50,0000,0000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0,0,1
179,0,1,51,0000,0000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0,0,1
180,0,1,52,0000,0000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0,0,1
181,0,1,53,0000,0000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0,0,1
