head,row,row_sum_actual,row_sum_expected,row_max_abs_err,row_fail_count,row_pass
0,104,9.9975585938e-01,9.9963378906e-01,6.1035156250e-05,0,1
0,105,9.9633789062e-01,1.0003662109e+00,6.1035156250e-05,0,1
0,106,9.9920654297e-01,9.9945068359e-01,6.1035156250e-05,0,1
0,107,1.0019531250e+00,1.0012817383e+00,6.1035156250e-05,0,1
0,108,9.9792480469e-01,9.9877929688e-01,6.1035156250e-05,0,1
0,109,1.0003662109e+00,1.0001220703e+00,6.1035156250e-05,0,1
0,110,1.0026855469e+00,1.0009765625e+00,6.1035156250e-05,0,1
0,111,9.9804687500e-01,9.9829101562e-01,6.1035156250e-05,0,1
0,112,1.0000610352e+00,1.0000610352e+00,0.0000000000e+00,0,1
0,113,1.0019531250e+00,1.0017700195e+00,6.1035156250e-05,0,1
0,114,9.9670410156e-01,9.9981689453e-01,6.1035156250e-05,0,1
0,115,9.9829101562e-01,9.9841308594e-01,6.1035156250e-05,0,1
0,116,9.9975585938e-01,9.9981689453e-01,6.1035156250e-05,0,1
0,117,1.0010986328e+00,1.0010986328e+00,0.0000000000e+00,0,1
0,118,1.0021972656e+00,1.0012817383e+00,6.1035156250e-05,0,1
0,119,9.9609375000e-01,1.0007934570e+00,6.1035156250e-05,0,1
0,120,1.0043945312e+00,9.9847412109e-01,6.1035156250e-05,0,1
0,121,9.9780273438e-01,9.9890136719e-01,6.1035156250e-05,0,1
0,122,9.9847412109e-01,9.9847412109e-01,0.0000000000e+00,0,1
0,123,9.9902343750e-01,9.9908447266e-01,6.1035156250e-05,0,1
0,124,9.9945068359e-01,9.9945068359e-01,0.0000000000e+00,0,1
0,125,9.9975585938e-01,9.9975585938e-01,0.0000000000e+00,0,1
0,126,9.9993896484e-01,9.9993896484e-01,0.0000000000e+00,0,1
0,127,1.0000000000e+00,9.9996948242e-01,3.0517578125e-05,0,1
1,0,1.0000000000e+00,1.0000000000e+00,0.0000000000e+00,0,1
1,1,1.0000000000e+00,1.0000000000e+00,0.0000000000e+00,0,1
1,2,1.0019531250e+00,1.0000000000e+00,1.9531250000e-03,0,1
1,3,1.0000000000e+00,1.0000000000e+00,0.0000000000e+00,0,1
1,4,1.0009765625e+00,1.0009765625e+00,0.0000000000e+00,0,1
1,5,1.0019531250e+00,1.0000000000e+00,9.7656250000e-04,0,1
1,6,9.9804687500e-01,9.9902343750e-01,9.7656250000e-04,0,1
1,7,1.0000000000e+00,9.9951171875e-01,4.8828125000e-04,0,1
1,8,1.0019531250e+00,1.0000000000e+00,4.8828125000e-04,0,1
1,9,1.0009765625e+00,1.0000000000e+00,4.8828125000e-04,0,1
1,10,9.9902343750e-01,9.9951171875e-01,4.8828125000e-04,0,1
1,11,1.0019531250e+00,1.0004882812e+00,4.8828125000e-04,0,1
1,12,1.0029296875e+00,1.0000000000e+00,4.8828125000e-04,0,1
1,13,9.9804687500e-01,9.9853515625e-01,4.8828125000e-04,0,1
1,14,1.0034179688e+00,1.0000000000e+00,4.8828125000e-04,0,1
1,15,1.0000000000e+00,9.9975585938e-01,2.4414062500e-04,0,1
1,16,1.0002441406e+00,1.0000000000e+00,2.4414062500e-04,0,1
1,17,1.0019531250e+00,1.0002441406e+00,2.4414062500e-04,0,1
1,18,1.0019531250e+00,1.0002441406e+00,2.4414062500e-04,0,1
1,19,1.0009765625e+00,1.0007324219e+00,2.4414062500e-04,0,1
1,20,9.9975585938e-01,9.9951171875e-01,2.4414062500e-04,0,1
1,21,9.9902343750e-01,9.9926757812e-01,2.4414062500e-04,0,1
1,22,9.9951171875e-01,9.9951171875e-01,0.0000000000e+00,0,1
1,23,1.0019531250e+00,1.0007324219e+00,2.4414062500e-04,0,1
1,24,1.0009765625e+00,1.0007324219e+00,2.4414062500e-04,0,1
1,25,1.0029296875e+00,1.0007324219e+00,2.4414062500e-04,0,1
1,26,1.0004882812e+00,1.0004882812e+00,2.4414062500e-04,0,1
1,27,9.9804687500e-01,9.9853515625e-01,2.4414062500e-04,0,1
1,28,9.9829101562e-01,9.9877929688e-01,2.4414062500e-04,0,1
1,29,9.9609375000e-01,1.0007324219e+00,2.4414062500e-04,0,1
1,30,9.9902343750e-01,9.9902343750e-01,0.0000000000e+00,0,1
1,31,1.0000000000e+00,1.0000000000e+00,0.0000000000e+00,0,1
1,32,9.9902343750e-01,9.9975585938e-01,1.2207031250e-04,0,1
1,33,1.0002441406e+00,1.0000000000e+00,1.2207031250e-04,0,1
1,34,9.9926757812e-01,1.0000000000e+00,3.6621093750e-04,0,1
1,35,1.0019531250e+00,1.0001220703e+00,1.2207031250e-04,0,1
1,36,1.0026855469e+00,9.9987792969e-01,1.2207031250e-04,0,1
1,37,1.0019531250e+00,1.0001220703e+00,1.2207031250e-04,0,1
1,38,9.9975585938e-01,9.9963378906e-01,1.2207031250e-04,0,1
1,39,1.0009765625e+00,1.0002441406e+00,1.2207031250e-04,0,1
1,40,1.0009765625e+00,1.0003662109e+00,1.2207031250e-04,0,1
1,41,9.9975585938e-01,9.9963378906e-01,1.2207031250e-04,0,1
1,42,9.9731445312e-01,1.0000000000e+00,1.2207031250e-04,0,1
1,43,9.9902343750e-01,9.9938964844e-01,1.2207031250e-04,0,1
1,44,9.9975585938e-01,9.9975585938e-01,0.0000000000e+00,0,1
1,45,9.9951171875e-01,1.0000000000e+00,1.2207031250e-04,0,1
1,46,9.9829101562e-01,9.9938964844e-01,1.2207031250e-04,0,1
1,47,1.0019531250e+00,1.0007324219e+00,1.2207031250e-04,0,1
1,48,9.9890136719e-01,9.9938964844e-01,1.2207031250e-04,0,1
1,49,1.0009765625e+00,1.0009765625e+00,0.0000000000e+00,0,1
1,50,1.0023193359e+00,1.0014648438e+00,1.2207031250e-04,0,1
1,51,1.0029296875e+00,1.0001220703e+00,1.2207031250e-04,0,1
1,52,9.9633789062e-01,9.9987792969e-01,1.2207031250e-04,0,1
1,53,1.0019531250e+00,1.0014648438e+00,1.2207031250e-04,0,1
1,54,1.0003662109e+00,1.0003662109e+00,0.0000000000e+00,0,1
1,55,9.9804687500e-01,9.9865722656e-01,1.2207031250e-04,0,1
1,56,1.0019531250e+00,1.0013427734e+00,1.2207031250e-04,0,1
1,57,9.9829101562e-01,9.9902343750e-01,1.2207031250e-04,0,1
1,58,1.0010986328e+00,1.0010986328e+00,0.0000000000e+00,0,1
